name,decription,director,actors,year,rating
StealthÂ ,artificial intelligence|box office flop|fighter jet|navy|pilot,Rob Cohen,"Joe Morton,Sam Shepard,Richard Roxburgh",2005,5
WatchmenÂ ,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,Zack Snyder,"Billy Crudup,Matt Frewer,Stephen McHattie",2009,7.7
Lethal Weapon 4Â ,kung fu|lapd|martial arts|private investigator|triad,Richard Donner,"Rene Russo,Jet Li,Darlene Love",1998,6.6
HulkÂ ,1980s|c 130 hercules|monster|panzer|san francisco california,Ang Lee,"Regi Davis,Kevin Rankin,Celia Weston",2003,5.7
G.I. Joe: RetaliationÂ ,general|gi joe|martial arts|ninja|president,Jon M. Chu,"Dwayne Johnson,Channing Tatum,Elodie Yung",2013,5.8
SaharaÂ ,beach|civil war|desert|dictator|ship,Breck Eisner,"Rainn Wilson,Matthew McConaughey,Delroy Lindo",2005,6
Final Fantasy: The Spirits WithinÂ ,general|military|scientist|soldier|year 2065,Hironobu Sakaguchi,"Ming-Na Wen,Steve Buscemi,Jean Simmons",2001,6.4
Captain America: The First AvengerÂ ,arctic|captain america|scientist|tesseract|war bond,Joe Johnston,"Dominic Cooper,Chris Evans,Hayley Atwell",2011,6.9
The World Is Not EnoughÂ ,british|oil|scientist|terrorist|tycoon,Michael Apted,"Maria Grazia Cucinotta,Colin Salmon,Desmond Llewelyn",1999,6.4
Master and Commander: The Far Side of the WorldÂ ,1800s|napoleonic wars|pursuit|royal navy|ship,Peter Weir,"Lee Ingleby,James D'Arcy,David Threlfall",2003,7.4
The Twilight Saga: Breaking Dawn - Part 2Â ,battle|friend|super strength|vampire|vision,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",2012,5.5
Happy Feet 2Â ,3d|antarctica|krill|penguin|sequel,George Miller,"Brad Pitt,Robin Williams,Common",2011,5.9
The Incredible HulkÂ ,antidote|cure|hulk|marvel cinematic universe|opening action scene,Louis Leterrier,"Peter Mensah,Ty Burrell,William Hurt",2008,6.8
Miami ViceÂ             ,cult tv|detective|drugs|police|undercover,,"Philip Michael Thomas,Don Johnson,John Diehl",,7.5
The BFGÂ ,cannibal|evil brother|giant|london england|queen,Steven Spielberg,"Penelope Wilton,Mark Rylance,Rafe Spall",2016,6.8
The RevenantÂ ,bear attack|cauterizing a wound|native american|revenge|survival,Alejandro G. IÃ±Ã¡rritu,"Tom Hardy,Leonardo DiCaprio,Lukas Haas",2015,8.1
TurboÂ ,accident|freak accident|race|snail|underdog,David Soren,"Snoop Dogg,Ryan Reynolds,Ben Schwartz",2013,6.5
RangoÂ ,chameleon|lizard|sheriff|water|western town,Gore Verbinski,"Ray Winstone,Johnny Depp,Stephen Root",2011,7.2
Penguins of MadagascarÂ ,little girl|park|spy|statue of liberty|television van,Eric Darnell,"Annet Mahendru,Benedict Cumberbatch,Andy Richter",2014,6.7
The Bourne UltimatumÂ ,action hero|cia|dark past|flashback|memory,Paul Greengrass,"Edgar RamÃ­rez,Matt Damon,Albert Finney",2007,8.1
Kung Fu PandaÂ ,kung fu|kung fu master|master|panda|snow leopard,Mark Osborne,"Wayne Knight,Angelina Jolie Pitt,Dan Fogler",2008,7.6
Ant-ManÂ ,ant|chinatown san francisco|heist|sabotage|vault,Peyton Reed,"Hayley Atwell,Judy Greer,T.I.",2015,7.4
The Hunger Games: Catching FireÂ ,president|snow|television|tour|uprising,Francis Lawrence,"Josh Hutcherson,Jennifer Lawrence,Sandra Ellis Lafferty",2013,7.6
The Twilight Saga: Breaking Dawn - Part 2Â ,battle|friend|super strength|vampire|vision,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",2012,5.5
HomeÂ ,alien friendship|alien invasion|australia|flying car|mother daughter relationship,Tim Johnson,"Matt Jones,Jim Parsons,April Winchell",2015,6.7
War of the WorldsÂ ,alien|fight|storm|survival|tripod,Steven Spielberg,"Lisa Ann Walter,Tom Cruise,Rick Gonzalez",2005,6.5
Bad Boys IIÂ ,cuba|dea|drugs|money|undercover,Michael Bay,"Henry Rollins,Will Smith,Jordi MollÃ ",2003,6.6
Puss in BootsÂ ,betrayal|egg|friend|goose|hero,Chris Miller,"Constance Marie,Salma Hayek,Amy Sedaris",2011,6.7
SaltÂ ,cia|on the run|russian|russian spy|strong female lead,Phillip Noyce,"Andre Braugher,Angelina Jolie Pitt,August Diehl",2010,6.4
NoahÂ ,ark|flood|noah's ark|water|wrath of god,Darren Aronofsky,"Emma Watson,Anthony Hopkins,Logan Lerman",2014,5.8
The Adventures of TintinÂ ,captain|morocco|ship|tintin|treasure,Steven Spielberg,"Mackenzie Crook,Toby Jones,Tony Curran",2011,7.4
Harry Potter and the Prisoner of AzkabanÂ ,magic|muggle|serial killer|traitor|wizard,Alfonso CuarÃ³n,"Gary Oldman,Daniel Radcliffe,Rupert Grint",2004,7.8
AustraliaÂ ,australia|cattle|darwin|drover|japanese,Baz Luhrmann,"Bryan Brown,Essie Davis,Eddie Baroo",2008,6.6
After EarthÂ ,box office flop|father son team|fear|race against time|real life father and son playing father and son,M. Night Shyamalan,"ZoÃ« Kravitz,Will Smith,Glenn Morshower",2013,4.9
DinosaurÂ ,egg|iguanodon|lemur|meteor|nesting grounds,Eric Leighton,"D.B. Sweeney,Alfre Woodard,Della Reese",2000,6.5
Harry Potter and the Deathly Hallows: Part IIÂ ,,Matt Birch,"Dave Legeno,Rupert Grint,Ralph Ineson",2011,7.5
Night at the Museum: Secret of the TombÂ ,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,Shawn Levy,"Rami Malek,Robin Williams,Steve Coogan",2014,6.2
MegamindÂ ,battle|city|planet|prison|superhero,Tom McGrath,"Brad Pitt,J.K. Simmons,Will Ferrell",2010,7.3
Harry Potter and the Sorcerer's StoneÂ ,based on novel|birthday|evil wizard|quidditch|wizard,Chris Columbus,"Fiona Shaw,Daniel Radcliffe,Verne Troyer",2001,7.5
R.I.P.D.Â ,drug dealer|gold|partner|police|undead,Robert Schwentke,"Jeff Bridges,Ryan Reynolds,Stephanie Szostak",2013,5.6
Godzilla ResurgenceÂ ,blood|godzilla|monster|sequel,Hideaki Anno,"Shin'ya Tsukamoto,Mark Chinnery,Atsuko Maeda",2016,8.2
Pirates of the Caribbean: The Curse of the Black PearlÂ ,caribbean|curse|governor|pirate|undead,Gore Verbinski,"Orlando Bloom,Johnny Depp,Jack Davenport",2003,8.1
Harry Potter and the Deathly Hallows: Part IÂ ,,Matt Birch,"Toby Jones,Rupert Grint,Alfred Enoch",2010,6.4
The Hunger Games: Mockingjay - Part 1Â ,based on young adult novel|manipulation|rebellion|symbol|uprising,Francis Lawrence,"Philip Seymour Hoffman,Jennifer Lawrence,Josh Hutcherson",2014,6.7
The Da Vinci CodeÂ ,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,Ron Howard,"Seth Gabel,Tom Hanks,JÃ¼rgen Prochnow",2006,6.6
Rio 2Â ,amazon|bird|father in law|jungle|no opening credits,Carlos Saldanha,"Rachel Crow,Miguel Ferrer,Jeffrey Garcia",2014,6.4
X-Men 2Â ,mutant|prison|professor|school|x men,Bryan Singer,"Bruce Davison,Hugh Jackman,Aaron Stanford",2003,7.5
Fast FiveÂ ,drug lord|drugs|federal agent|heist|police,Justin Lin,"Vin Diesel,Paul Walker,Dwayne Johnson",2011,7.3
Sherlock Holmes: A Game of ShadowsÂ ,factory|gypsy|investigation|sherlock holmes|train,Guy Ritchie,"Eddie Marsan,Robert Downey Jr.,Paul Anderson",2011,7.5
Clash of the TitansÂ ,famous line|hand to hand combat|kraken|rape|zeus,Louis Leterrier,"Jason Flemyng,Liam Neeson,Alexa Davalos",2010,5.8
Total RecallÂ ,ambiguous ending|false memory|implanted memory|memory|space colony,Paul Verhoeven,"Rachel Ticotin,Ronny Cox,Marshall Bell",1990,7.5
The 13th WarriorÂ ,arab|battle|combat|viking|warrior,John McTiernan,"Vladimir Kulich,Tony Curran,Clive Russell",1999,6.6
The Bourne LegacyÂ ,assassin|cia|drone|pill|wolf,Tony Gilroy,"Scott Glenn,Jeremy Renner,Stacy Keach",2012,6.7
Batman & RobinÂ ,butler|critically bashed|cure|freeze|gotham,Joel Schumacher,"Vivica A. Fox,Michael Gough,John Glover",1997,3.7
How the Grinch Stole ChristmasÂ ,box office hit|christmas|materialism|public humiliation|snowflake,Ron Howard,"T.J. Thyne,Clint Howard,Molly Shannon",2000,6
The Day After TomorrowÂ ,climate|end of the world|global warming|natural disaster|weather,Roland Emmerich,"Dennis Quaid,Jake Gyllenhaal,Sela Ward",2004,6.4
Mission: Impossible IIÂ ,cure|mission|terrorist|thief|virus,John Woo,"Dougray Scott,Tom Cruise,Richard Roxburgh",2000,6.1
The Perfect StormÂ ,death|fish|fishing|sea|storm,Wolfgang Petersen,"Mary Elizabeth Mastrantonio,Karen Allen,Bob Gunton",2000,6.4
Fantastic 4: Rise of the Silver SurferÂ ,fantastic four|space|strong female character|strong female lead|superheroine,Tim Story,"Ioan Gruffudd,Chris Evans,Andre Braugher",2007,5.6
Life of PiÂ ,animal|faith|india|journey|tiger,Ang Lee,"Rafe Spall,Suraj Sharma,Tabu",2012,8
Ghost RiderÂ ,blackheart|devil|father|ghost|mephistopheles,Mark Steven Johnson,"Matt Long,Nicolas Cage,Peter Fonda",2007,5.2
Jason BourneÂ ,black ops|chase|cia|cia agent|repeated scene,Paul Greengrass,"Riz Ahmed,Matt Damon,Ato Essandoh",2016,7.1
Charlie's Angels: Full ThrottleÂ ,fbi|murder|ring|witness protection|witness protection program,McG,"Bernie Mac,Demi Moore,Justin Theroux",2003,4.8
PrometheusÂ ,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,Ridley Scott,"Charlize Theron,Michael Fassbender,Sean Harris",2012,7
Stuart Little 2Â ,anthropomorphic mouse|falcon|marshmallow|second part|soccer,Rob Minkoff,"Brad Garrett,Nathan Lane,Melanie Griffith",2002,5.4
ElysiumÂ ,christ figure|class differences|messiah|saviour|social commentary,Neill Blomkamp,"Sharlto Copley,Matt Damon,Alice Braga",2013,6.6
The Chronicles of RiddickÂ ,bounty hunter|escape|necromonger|planet|warrior,David Twohy,"Alexa Davalos,Vin Diesel,Christina Cox",2004,6.7
RoboCopÂ ,law enforcement|police|robocop|robot|technology,JosÃ© Padilha,"Abbie Cornish,Gary Oldman,Jennifer Ehle",2014,6.2
Speed RacerÂ ,based on anime|based on cartoon|gadget car|racer|speed,Lana Wachowski,"Kick Gurry,Scott Porter,Nicholas Elia",2008,6.1
How Do You KnowÂ ,embarrassment|falling in love|love|love triangle|revelation,James L. Brooks,"Domenick Lombardozzi,Shelley Conn,Teyonah Parris",2010,5.3
Knight and DayÂ ,chase|fbi|garage|spy|surveillance,James Mangold,"Marc Blucas,Tom Cruise,Jordi MollÃ ",2010,6.3
OblivionÂ ,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,Joseph Kosinski,"Tom Cruise,Morgan Freeman,ZoÃ« Bell",2013,7
Star Wars: Episode III - Revenge of the SithÂ ,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,George Lucas,"Christopher Lee,Natalie Portman,Hayden Christensen",2005,7.6
Star Wars: Episode II - Attack of the ClonesÂ ,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,George Lucas,"Christopher Lee,Natalie Portman,Hayden Christensen",2002,6.7
"Monsters, Inc.Â ",friend|little girl|monster|rival|scream,Pete Docter,"John Ratzenberger,Steve Buscemi,James Coburn",2001,8.1
The WolverineÂ ,healing power|marvel comics|mecha|regeneration|self healing,James Mangold,"Tao Okamoto,Hugh Jackman,Rila Fukushima",2013,6.7
Star Wars: Episode I - The Phantom MenaceÂ ,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,George Lucas,"Liam Neeson,Natalie Portman,Ian McDiarmid",1999,6.5
The CroodsÂ ,cave|caveman|journey|strict father|survival,Kirk De Micco,"Emma Stone,Ryan Reynolds,Nicolas Cage",2013,7.3
Asterix at the Olympic GamesÂ ,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,FrÃ©dÃ©ric Forestier,"Santiago Segura,Alain Delon,Vanessa Hessler",2008,5.1
WindtalkersÂ ,code|duty|steel helmet|u.s. marine|u.s. soldier,John Woo,"Roger Willie,Nicolas Cage,Noah Emmerich",2002,6
The Huntsman: Winter's WarÂ ,based on fairy tale|dark fantasy|fairy tale|second part|sequel,Cedric Nicolas-Troyan,"Sam Claflin,Chris Hemsworth,Charlize Theron",2016,6.1
Teenage Mutant Ninja TurtlesÂ ,18 wheeler|mutant|ninja|sewer|turtle,Jonathan Liebesman,"Danny Woodburn,Noel Fisher,Jeremy Howard",2014,5.9
GravityÂ ,box office hit|long take|sole survivor|space|space station,Alfonso CuarÃ³n,"Basher Savage,Phaldut Sharma,Amy Warren",2013,7.8
Dante's PeakÂ ,ash|escape|lava|mayor|volcano,Roger Donaldson,"Grant Heslov,Jamie RenÃ©e Smith,Tzi Ma",1997,5.8
Teenage Mutant Ninja Turtles: Out of the ShadowsÂ ,based on comic book|brother brother relationship|rat|sequel|turtle,Dave Green,"Noel Fisher,Stephen Amell,Brad Garrett",2016,6.3
Fantastic FourÂ ,box office flop|critically bashed|portal|teleportation|troubled production,Josh Trank,"Reg E. Cathey,Tim Blake Nelson,Tim Heidecker",2015,4.3
Night at the MuseumÂ ,chaos|museum|museum of natural history|night watchman|watchman,Shawn Levy,"Rami Malek,Robin Williams,Steve Coogan",2006,6.4
San AndreasÂ ,disaster movie|earthquake|journey|natural disaster|san andreas fault,Brad Peyton,"Ioan Gruffudd,Dwayne Johnson,Archie Panjabi",2015,6.1
Tomorrow Never DiesÂ ,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,Roger Spottiswoode,"Colin Salmon,Vincent Schiavelli,Joe Don Baker",1997,6.5
The PatriotÂ ,american revolution|british|french|hero|standoff,Roland Emmerich,"Adam Baldwin,Heath Ledger,Tom Wilkinson",2000,7.1
Ocean's TwelveÂ ,father daughter relationship|heist|pretending to be pregnant|sequel|thief,Steven Soderbergh,"Julia Roberts,Brad Pitt,Mini Anden",2004,6.4
Mr. & Mrs. SmithÂ ,assassin|marriage|secret agent|suburb|target,Doug Liman,"Angelina Jolie Pitt,Brad Pitt,Stephanie March",2005,6.5
InsurgentÂ ,action heroine|falling from height|mind control|trainhopping|truth serum,Robert Schwentke,"Theo James,Kate Winslet,Mekhi Phifer",2015,6.3
The AviatorÂ ,1920s|aviation|fight|spruce goose|test flight,Martin Scorsese,"Adam Scott,Leonardo DiCaprio,Frances Conroy",2004,7.5
Gulliver's TravelsÂ ,bermuda triangle|box office hit|shipwrecked|travel|travel writer,Rob Letterman,"Catherine Tate,James Corden,Olly Alexander",2010,4.9
The Green HornetÂ ,heir|kung fu|party|playboy|superhero,Michel Gondry,"Tom Wilkinson,Christoph Waltz,Chad L. Coleman",2011,5.8
The A-TeamÂ             ,1980s|cult tv|famous opening theme|good versus evil|hero for hire,,"Dirk Benedict,George Peppard,Dwight Schultz",,7.6
300: Rise of an EmpireÂ ,army|commander|female rear nudity|greek|navy,Noam Murro,"Sullivan Stapleton,Eva Green,Peter Mensah",2014,6.2
The SmurfsÂ ,blue|new york|new york city|no opening credits|smurf,Raja Gosnell,"Tim Gunn,Mahadeo Shivraj,Madison McKinley",2011,5.5
Home on the RangeÂ ,cattle|cow|dairy farm|farm|rustler,Will Finn,"Roseanne Barr,Steve Buscemi,G.W. Bailey",2004,5.4
AllegiantÂ ,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,Robert Schwentke,"Theo James,Naomi Watts,ZoÃ« Kravitz",2016,5.8
Real SteelÂ ,arena|boxing|boxing movie|robot|robot battle,Shawn Levy,"Torey Michael Adkins,Hugh Jackman,Olga Fonda",2011,7.1
The Smurfs 2Â ,based on cartoon|box office hit|no opening credits|sequel|smurf,Raja Gosnell,"Nancy O'Dell,Jacob Tremblay,Vanessa Matsui",2013,5.4
Speed 2: Cruise ControlÂ ,collision course|computer|cruise|diamonds|ship run aground,Jan de Bont,"Temuera Morrison,Jason Patric,Lois Chiles",1997,3.7
Ender's GameÂ ,alien|future|manipulation|simulation|training,Gavin Hood,"Moises Arias,Harrison Ford,Aramis Knight",2013,6.7
Live Free or Die HardÂ ,fbi|hacker|independence day|police|terrorist,Len Wiseman,"Jonathan Sadowski,Bruce Willis,Cyril Raffaelli",2007,7.2
The Lord of the Rings: The Fellowship of the RingÂ ,elf|hobbit|middle earth|quest|ring,Peter Jackson,"Orlando Bloom,Christopher Lee,Billy Boyd",2001,8.8
Around the World in 80 DaysÂ ,19th century|around the world|inventor|martial arts|train,Frank Coraci,"Steve Coogan,Jim Broadbent,CÃ©cile De France",2004,5.8
AliÂ ,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,Michael Mann,"Jada Pinkett Smith,Will Smith,Joe Morton",2001,6.8
The Cat in the HatÂ ,based on cult comic book|cat|home alone|imagination|talking cat,Bo Welch,"Kelly Preston,Sean Hayes,Spencer Breslin",2003,3.8
"I, RobotÂ ",humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,Alex Proyas,"Bruce Greenwood,Will Smith,Chi McBride",2004,7.1
Kingdom of HeavenÂ ,12th century|crusader|jerusalem|knight|medieval times,Ridley Scott,"Orlando Bloom,Liam Neeson,Philip Glenister",2005,7.2
Stuart LittleÂ ,box office hit|cat|first part|mouse|orphanage,Rob Minkoff,"Nathan Lane,Chazz Palminteri,Jeffrey Jones",1999,5.9
The Princess and the FrogÂ ,amphibian|dream|frog|frog prince|waitress,Ron Clements,"Jenifer Lewis,Oprah Winfrey,Anika Noni Rose",2009,7.1
The MartianÂ ,astronaut|international cooperation|left for dead|nasa|space habitat,Ridley Scott,"Donald Glover,Matt Damon,Benedict Wong",2015,8.1
"10,000 B.C.Â             ",,Christopher Barnard,",Mathew Buck,",,7.2
The IslandÂ ,clone|environment|escape|island|lottery,Michael Bay,"Steve Buscemi,Scarlett Johansson,Djimon Hounsou",2005,6.9
Town & CountryÂ ,anniversary|architect|cellist|friend|hardware store,Peter Chelsom,"Warren Beatty,Del Zamora,Garry Shandling",2001,4.4
Gone in Sixty SecondsÂ ,auto theft|brother|car|theft|thief,Dominic Sena,"Angelina Jolie Pitt,Nicolas Cage,Robert Duvall",2000,6.5
GladiatorÂ ,battlefield|blood|combat|gladiator|roman empire,Ridley Scott,"Connie Nielsen,Djimon Hounsou,Oliver Reed",2000,8.5
Minority ReportÂ ,future|murder|neo noir|washington d.c.|year 2054,Steven Spielberg,"Frank Grillo,Tom Cruise,Jessica Capshaw",2002,7.7
Harry Potter and the Chamber of SecretsÂ ,bildungsroman|flying broom|invisibility cloak|monster|wizardry,Chris Columbus,"Rupert Grint,Daniel Radcliffe,Emma Watson",2002,7.4
Casino RoyaleÂ ,casino|espionage|free running|james bond|terrorist,Martin Campbell,"Tobias Menzies,Eva Green,Ivana Milicevic",2006,8
Planet of the ApesÂ ,astronaut|cage|planet|wilhelm scream|year 2029,Tim Burton,"Estella Warren,Cary-Hiroyuki Tagawa,Erick Avari",2001,5.7
Terminator 2: Judgment DayÂ ,future|liquid metal|multiple cameos|sexy woman|time travel,James Cameron,"Jenette Goldstein,Joe Morton,S. Epatha Merkerson",1991,8.5
Public EnemiesÂ ,1930s|bank|celebrity criminal|fbi|public enemy number one,Michael Mann,"Christian Bale,Johnny Depp,Stephen Graham",2009,7
American GangsterÂ ,death|heroin|popcorn|smuggling|vietnam,Ridley Scott,"Ruby Dee,Denzel Washington,RZA",2007,7.8
True LiesÂ ,espionage|secret agent|secret mission|spy|spy film,James Cameron,"Tia Carrere,Jamie Lee Curtis,Tom Arnold",1994,7.2
The Taking of Pelham 1 2 3Â ,hijack|hostage|ransom|subway|train,Tony Scott,"Ramon Rodriguez,Denzel Washington,Michael Rispoli",2009,6.4
Little FockersÂ ,birthday|critically bashed|male nurse|nurse|suspicion,Paul Weitz,"Blythe Danner,Robert De Niro,Teri Polo",2010,5.5
The Other GuysÂ ,capitalist|detective|investigation|new york city|police,Adam McKay,"Will Ferrell,Dwayne Johnson,Derek Jeter",2010,6.7
EraserÂ ,assassination attempt|corporate crime|rogue agent|witness|witness protection program,Chuck Russell,"James Coburn,Vanessa Williams,Roma Maffia",1996,6.1
Django UnchainedÂ ,dynamite|historically inaccurate|ku klux klan|n word|slavery,Quentin Tarantino,"Christoph Waltz,Leonardo DiCaprio,Ato Essandoh",2012,8.5
The Hunchback of Notre DameÂ ,15th century|cathedral|gypsy|paris|victor hugo,Gary Trousdale,"Jason Alexander,Demi Moore,Bill Fagerbakke",1996,6.9
The Emperor's New GrooveÂ ,antidote|disney|emperor|first part|llama,Mark Dindal,"Wendie Malick,Eartha Kitt,John Fiedler",2000,7.3
The Expendables 2Â ,church|hostage|mine|plutonium|revenge,Simon West,"Sylvester Stallone,Jason Statham,Bruce Willis",2012,6.7
National TreasureÂ ,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,Jon Turteltaub,"Armando Riesco,Nicolas Cage,Annie Parisse",2004,6.9
EragonÂ ,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,Stefen Fangmeier,"Ed Speleers,Djimon Hounsou,Gary Lewis",2006,5.1
Where the Wild Things AreÂ ,based on children's book|creature|igloo|imagination|king,Spike Jonze,"Ryan Corr,Catherine O'Hara,Max Records",2009,6.8
PanÂ ,1940s|child hero|fantasy world|orphan|reference to peter pan,Joe Wright,"Cara Delevingne,Hugh Jackman,Nonso Anozie",2015,5.8
EpicÂ ,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,Chris Wedge,"Emma Kenney,Josh Hutcherson,Troy Evans",2013,6.7
The TouristÂ ,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,Florian Henckel von Donnersmarck,"Angelina Jolie Pitt,Johnny Depp,Rufus Sewell",2010,6
End of DaysÂ ,atheist|ex cop|female masturbation|female nudity|lucifer,Peter Hyams,"Mark Margolis,CCH Pounder,Udo Kier",1999,5.7
Blood DiamondÂ ,diamond|elephant|fisherman|rebel|sierra leone,Edward Zwick,"Djimon Hounsou,Leonardo DiCaprio,Stephen Collins",2006,8
The Wolf of Wall StreetÂ ,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,Martin Scorsese,"Matthew McConaughey,Leonardo DiCaprio,Jon Favreau",2013,8.2
Batman ForeverÂ ,love|necktie|partner|rock music|tuxedo,Joel Schumacher,"Rene Auberjonois,Michael Gough,Debi Mazar",1995,5.4
Starship TroopersÂ ,alien|federation|future|military|planet,Paul Verhoeven,"Patrick Muldoon,Jake Busey,Seth Gilliam",1997,7.2
Cloud AtlasÂ ,composer|future|letter|nonlinear timeline|nursing home,Tom Tykwer,"Jim Sturgess,Tom Hanks,Jim Broadbent",2012,7.5
Legend of the Guardians: The Owls of Ga'HooleÂ ,barn owl|escape|owl|ruler|soldier,Zack Snyder,"Richard Roxburgh,Abbie Cornish,Anthony LaPaglia",2010,7
CatwomanÂ ,based on cult comic book|bechdel test passed|cat|detective|radical transformation,Pitof,"Christopher Heyerdahl,Frances Conroy,Alex Borstein",2004,3.3
HerculesÂ ,army|greek mythology|hercules|king|mercenary,Brett Ratner,"Rufus Sewell,Dwayne Johnson,Ingrid BolsÃ¸ Berdal",2014,6
Treasure PlanetÂ ,alien|cyborg|pirate|planet|treasure,Ron Clements,"Martin Short,Joseph Gordon-Levitt,Michael Wincott",2002,7.1
Land of the LostÂ ,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,Brad Silberling,"Anna Friel,Will Ferrell,Bobb'e J. Thompson",2009,5.4
The Expendables 3Â ,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,Patrick Hughes,"Sylvester Stallone,Jason Statham,Harrison Ford",2014,6.1
Point BreakÂ ,athlete|extreme sports|fbi|fbi agent|heist,Ericson Core,"Edgar RamÃ­rez,Ray Winstone,Delroy Lindo",2015,5.3
Son of the MaskÂ ,baby|cartoon on tv|cartoonist|dog|mask,Lawrence Guterman,"Traylor Howard,Jamie Kennedy,Ben Stein",2005,2.2
In the Heart of the SeaÂ ,emaciation|ship|starvation|vomiting|whale,Ron Howard,"Benjamin Walker,Chris Hemsworth,Frank Dillane",2015,7
The Adventures of Pluto NashÂ ,casino|future|laser gun|moon|nightclub,Ron Underwood,"Randy Quaid,Rosario Dawson,Burt Young",2002,3.8
Green ZoneÂ ,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,Paul Greengrass,"Sean Huze,Matt Damon,Igal Naor",2010,6.9
The Peanuts MovieÂ ,dog|girl|imagination|peanuts|red hair,Steve Martino,"Venus Schultheis,Francesca Capaldi,Bill Melendez",2015,7.2
The Spanish PrisonerÂ ,brother sister relationship|extradition|fbi|japanese tourist|secret,David Mamet,"Felicity Huffman,Ben Gazzara,Campbell Scott",1997,7.3
The Mummy ReturnsÂ ,ancient egypt|bracelet|king|scorpion|son,Stephen Sommers,"Brendan Fraser,Dwayne Johnson,Patricia Velasquez",2001,6.3
Gangs of New YorkÂ ,butcher|civil war|gangster|new york city|revenge,Martin Scorsese,"Liam Neeson,Leonardo DiCaprio,Jim Broadbent",2002,7.5
The Flowers of WarÂ ,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,Yimou Zhang,"Ni Ni,Christian Bale,Shigeo Kobayashi",2011,7.6
