name,decription,director,actors,year,rating
Surf's UpÂ ,chicken|competition|island|penguin|surfing,Ash Brannon,"Zooey Deschanel,Jeff Bridges,Jon Heder",2007,6.8
The Stepford WivesÂ ,community|connecticut|fem bot|tv producer|writer,Frank Oz,"Matthew Broderick,Jon Lovitz,Roger Bart",2004,5.2
Black Hawk DownÂ ,army|helicopter|somali|somalia|warlord,Ridley Scott,"Sam Shepard,Ioan Gruffudd,Ewen Bremner",2001,7.7
The CampaignÂ ,campaigning|congressman|north carolina|title at the end|u.s. congressman,Jay Roach,"Thomas Middleditch,Will Ferrell,Katherine LaNasa",2012,6.2
The Fifth ElementÂ ,1910s|alien|artificially created woman|love|taxi driver,Luc Besson,"Bruce Willis,Milla Jovovich,Gary Oldman",1997,7.7
Sex and the City 2Â ,abu dhabi|box office hit|muslim|nanny|united arab emirates,Michael Patrick King,"Liza Minnelli,Chris Noth,Kristin Davis",2010,4.3
The Road to El DoradoÂ ,adventurer|el dorado|gold|high priest|implied sex,Bibo Bergeron,"Rosie Perez,Frank Welker,Elton John",2000,6.9
Ice Age: Continental DriftÂ ,acorn|herd|iceberg|ocean|pirate,Steve Martino,"Josh Gad,Peter Dinklage,Drake",2012,6.6
CinderellaÂ ,dress|duke|fairy godmother|fairy tale|pumpkin,Kenneth Branagh,"Derek Jacobi,Hayley Atwell,Lily James",2015,7
The Lovely BonesÂ ,1970s|afterlife|heaven|pedophile|rape,Peter Jackson,"AJ Michalka,Michael Imperioli,Tom McCarthy",2009,6.7
Finding NemoÂ ,great barrier reef|protective father|separation from family|shark|short term memory loss,Andrew Stanton,"Stephen Root,Alexander Gould,Brad Garrett",2003,8.2
The Lord of the Rings: The Return of the KingÂ ,battle|epic|king|orc|ring,Peter Jackson,"Billy Boyd,Orlando Bloom,Bernard Hill",2003,8.9
The Lord of the Rings: The Two TowersÂ ,epic|evil wizard|middle earth|ring|wizard,Peter Jackson,"Orlando Bloom,Christopher Lee,Billy Boyd",2002,8.7
Seventh SonÂ ,apprentice|demon|exorcism|master apprentice relationship|witch,Sergey Bodrov,"Djimon Hounsou,Jeff Bridges,Olivia Williams",2014,5.5
Lara Croft: Tomb RaiderÂ ,illuminati|planetary alignment|time|tomb|tomb raider,Simon West,"Noah Taylor,Angelina Jolie Pitt,Chris Barrie",2001,5.7
TranscendenceÂ ,artificial intelligence|consciousness|power outage|scientist|technology,Wally Pfister,"Morgan Freeman,Johnny Depp,Clifton Collins Jr.",2014,6.3
Jurassic Park IIIÂ ,dinosaur|island|jurassic park|paleontologist|search,Joe Johnston,"Trevor Morgan,Michael Jeter,Alessandro Nivola",2001,5.9
Rise of the Planet of the ApesÂ ,alzheimer's disease|ape|chimpanzee|fire|when animals attack,Rupert Wyatt,"David Oyelowo,James Franco,Tyler Labine",2011,7.6
The Spiderwick ChroniclesÂ ,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,Mark Waters,"Tod Fennell,Martin Short,Joan Plowright",2008,6.6
A Good Day to Die HardÂ ,bomb|cia|courthouse|escape|russian,John Moore,"Cole Hauser,Bruce Willis,Megalyn Echikunwoke",2013,5.3
The AlamoÂ ,army|dictator|general|texan|texas,John Lee Hancock,"Marc Blucas,Dennis Quaid,Jordi MollÃ ",2004,6
The IncrediblesÂ ,hero|island|lawsuit|secret|superhero,Brad Bird,"Craig T. Nelson,Holly Hunter,Lou Romano",2004,8
Cutthroat IslandÂ ,latin|pirate|pirate ship|treasure|treasure map,Renny Harlin,"Frank Langella,Christopher Masterson,Matthew Modine",1995,5.6
Percy Jackson & the Olympians: The Lightning ThiefÂ ,greek|lightning|lightning bolt|poseidon|teenager,Chris Columbus,"Rosario Dawson,Logan Lerman,Steve Coogan",2010,5.9
Men in BlackÂ ,alien|box office hit|flying saucer|laser gun|wisecrack humor,Barry Sonnenfeld,"Rip Torn,Will Smith,Linda Fiorentino",1997,7.3
Toy Story 2Â ,collector|dog|friend|rescue|toy,John Lasseter,"John Ratzenberger,Tom Hanks,Wayne Knight",1999,7.9
UnstoppableÂ ,freight train|race against time|runaway train|train|train engineer,Tony Scott,"Rosario Dawson,Denzel Washington,Ethan Suplee",2010,6.8
Rush Hour 2Â ,boat|gang|hong kong|triad|vacation,Brett Ratner,"John Lone,Mei MelanÃ§on,Harris Yulin",2001,6.6
What Lies BeneathÂ ,ghost|haunted house|research|secret|vermont,Robert Zemeckis,"Amber Valletta,Harrison Ford,Miranda Otto",2000,6.6
Cloudy with a Chance of MeatballsÂ ,food|giant food|mayor|sardine|weather,Phil Lord,"Bobb'e J. Thompson,Will Forte,Al Roker",2009,7
Ice Age: Dawn of the DinosaursÂ ,egg|lost world|rescue|squirrel|weasel,Carlos Saldanha,"Maile Flanagan,Denis Leary,Kelly Keaton",2009,7
The Secret Life of Walter MittyÂ ,daydream|life magazine|magazine|photographer|snow leopard,Ben Stiller,"Adrian Martinez,Adam Scott,Joey Slotnick",2013,7.3
Charlie's AngelsÂ ,booty shake|box office hit|duct tape over mouth|first part|martial arts,McG,"LL Cool J,Bill Murray,Kelly Lynch",2000,5.5
The DepartedÂ ,boston|mole|police|undercover|undercover cop,Martin Scorsese,"Matt Damon,Leonardo DiCaprio,Ray Winstone",2006,8.5
MulanÂ ,based on poem|based on true story|china|one word title|the huns,Tony Bancroft,"Harvey Fierstein,Ming-Na Wen,June Foray",1998,7.5
Tropic ThunderÂ ,film director|parody|spoof|vietnam|written and directed by cast member,Ben Stiller,"Steve Coogan,Robert Downey Jr.,Brandon T. Jackson",2008,7
The Girl with the Dragon TattooÂ ,computer hacker|hacker|investigation|journalist|punk,David Fincher,"Goran Visnjic,Robin Wright,Joely Richardson",2011,7.8
Die Hard with a VengeanceÂ ,bomb|detective|new york city|police|terrorist,John McTiernan,"Aldis Hodge,Bruce Willis,Kevin Chamberlin",1995,7.6
Sherlock HolmesÂ ,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,Guy Ritchie,"Eddie Marsan,Robert Downey Jr.,Robert Maillet",2009,7.6
Ben-HurÂ ,,Timur Bekmambetov,"Ayelet Zurer,Morgan Freeman,Moises Arias",2016,6.1
Atlantis: The Lost EmpireÂ ,atlantis|crew|expedition|journal|museum,Gary Trousdale,"Jim Varney,Leonard Nimoy,Cree Summer",2001,6.8
Alvin and the Chipmunks: The Road ChipÂ ,chipmunk|highway travel|on the road|plane|road movie,Walt Becker,"Joshua Mikel,Bella Thorne,Jesse McCartney",2015,5
ValkyrieÂ ,american actor playing foreigner|assassination|conspiracy|military|nazis,Bryan Singer,"Tom Wilkinson,Tom Cruise,Thomas Kretschmann",2008,7.1
You Don't Mess with the ZohanÂ ,hair stylist|jew|landlord|muslim|palestinian,Dennis Dugan,"Sayed Badreya,Adam Sandler,Kevin Nealon",2008,5.5
PixelsÂ ,alien|arcade game|chase|driving in reverse|video gamer,Chris Columbus,"Adam Sandler,Peter Dinklage,Josh Gad",2015,5.6
A.I. Artificial IntelligenceÂ ,affection|boy|fairy|future|robot,Steven Spielberg,"William Hurt,Haley Joel Osment,Kevin Sussman",2001,7.1
The Haunted MansionÂ ,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,Rob Minkoff,"Rachael Harris,Marsha Thomason,Marc John Jefferies",2003,4.9
ContactÂ ,message from outer space|religion|religion versus science|scientist|universe,Robert Zemeckis,"Tom Skerritt,Matthew McConaughey,Larry King",1997,7.4
Hollow ManÂ ,experiment|research|scientist|suburb|surrealism,Paul Verhoeven,"Kim Dickens,Greg Grunberg,Joey Slotnick",2000,5.7
The InterpreterÂ ,african|assassination|dialect|interpreter|threat,Sydney Pollack,"George Harris,Curtiss Cook,Michael Wright",2005,6.4
Percy Jackson: Sea of MonstersÂ ,golden fleece|half brother|magical tree|sea|tree,Thor Freudenthal,"Leven Rambin,Logan Lerman,Brandon T. Jackson",2013,5.9
Lara Croft Tomb Raider: The Cradle of LifeÂ ,duology|female hero|female lead|orb|pandora's box,Jan de Bont,"Angelina Jolie Pitt,Gerard Butler,Djimon Hounsou",2003,5.5
Now You See Me 2Â ,card trick|london england|magician|rain machine|rooftop,Jon M. Chu,"Morgan Freeman,Daniel Radcliffe,Sanaa Lathan",2016,6.9
The SaintÂ ,cold fusion|disguise|energy|fusion|the saint,Phillip Noyce,"Michael Byrne,Alun Armstrong,Velibor Topic",1997,6.2
Spy GameÂ ,china|cia|cold war|friendship|retirement,Tony Scott,"Stephen Dillane,Brad Pitt,Catherine McCormack",2001,7
Mission to MarsÂ ,astronaut|mars|mars the planet|outer space|zero gravity,Brian De Palma,"Connie Nielsen,Don Cheadle,Kim Delaney",2000,5.6
RioÂ ,bird|brazilian|cockatoo|macaw|minnesota,Carlos Saldanha,"Wanda Sykes,Anne Hathaway,Will.i.am",2011,7
Bicentennial ManÂ ,23rd century|android|artificial intelligence|dual role|robot,Chris Columbus,"Oliver Platt,Robin Williams,John Michael Higgins",1999,6.8
VolcanoÂ ,earthquake|fire|lava|rescue|volcano,Mick Jackson,"Anne Heche,Don Cheadle,Gaby Hoffmann",1997,5.4
The Devil's OwnÂ ,friendship|murder|northern ireland|police officer|terrorist,Alan J. Pakula,"Brad Pitt,Harrison Ford,Natascha McElhone",1997,6.1
K-19: The WidowmakerÂ ,courage|radiation sickness|radioactive contamination|sea|test launch,Kathryn Bigelow,"Christian Camargo,Liam Neeson,Lex Shrapnel",2002,6.7
Fantastic FourÂ ,box office flop|critically bashed|portal|teleportation|troubled production,Josh Trank,"Reg E. Cathey,Tim Blake Nelson,Tim Heidecker",2015,4.3
Conan the BarbarianÂ ,actual animal killed|cult|evil sorcerer|gladiator|warlord,John Milius,"Mako,William Smith,Sandahl Bergman",1982,6.9
Cinderella ManÂ ,boxer|boxing|dream|great depression|love,Ron Howard,"Bruce McGill,Paddy Considine,Rosemarie DeWitt",2005,8
The Nutcracker in 3DÂ ,box office flop|christmas|christmas eve|critically bashed|toy comes to life,Andrey Konchalovskiy,"Nathan Lane,Shirley Henderson,Richard E. Grant",2010,4.4
SeabiscuitÂ ,horse|horse racing|jockey|limp|seabiscuit,Gary Ross,"Michael Angarano,Jeff Bridges,Michael O'Neill",2003,7.3
TwisterÂ ,device|disaster|divorce|storm|tornado,Jan de Bont,"Alan Ruck,Philip Seymour Hoffman,Jami Gertz",1996,6.3
The Fast and the FuriousÂ ,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,"Vin Diesel,Paul Walker,Jordana Brewster",2001,6.7
Cast AwayÂ ,christmas|island|love|survival|talking to inanimate object,Robert Zemeckis,"Paul Sanchez,Tom Hanks,Nick Searcy",2000,7.7
Happy FeetÂ ,dance|emperor penguin|friend|penguin|song,George Miller,"Hugh Jackman,Robin Williams,Elizabeth Daily",2006,6.5
The Bourne SupremacyÂ ,assassin|car chase|cia|hidden truth|one against many,Paul Greengrass,"Joan Allen,Matt Damon,Oksana Akinshina",2004,7.8
Air Force OneÂ ,ex soldier|hijacker|hostage|president|terrorist,Wolfgang Petersen,"Gary Oldman,Harrison Ford,Dean Stockwell",1997,6.4
Ocean's ElevenÂ ,card dealer|casino|criminal mastermind|recruiting|ulcer,Steven Soderbergh,"Bernie Mac,Brad Pitt,Elliott Gould",2001,7.8
The Three MusketeersÂ ,box office flop|cardinal richelieu|critically bashed|duel|musketeer,Paul W.S. Anderson,"Logan Lerman,Milla Jovovich,Orlando Bloom",2011,5.8
Hotel TransylvaniaÂ ,dracula|hotel|invisible man|monster|transylvania,Genndy Tartakovsky,"Adam Sandler,Steve Buscemi,Jon Lovitz",2012,7.1
EnchantedÂ ,fairy tale|lawyer|love|new york|prince,Kevin Lima,"Teala Dunn,Jeff Bennett,Fred Tatasciore",2007,7.1
HannibalÂ             ,blood|cannibalism|fbi|manipulation|psychiatrist,,"Scott Thompson,Caroline Dhavernas,Hettienne Park",,8.6
Safe HouseÂ ,cia|cia agent|consulate|on the run|safe house,Daniel Espinosa,"Ryan Reynolds,Denzel Washington,Sam Shepard",2012,6.8
102 DalmatiansÂ ,dog|parole|parole officer|prison|puppy,Kevin Lima,"Eric Idle,Ioan Gruffudd,Jim Carter",2000,4.8
Tower HeistÂ ,apartment|fbi|fraud|heist|manager,Brett Ratner,"Gabourey Sidibe,Matthew Broderick,Judd Hirsch",2011,6.2
The HolidayÂ ,book|composer|house|love|self esteem,Nancy Meyers,"Rufus Sewell,Kate Winslet,Sarah Parish",2006,6.9
Enemy of the StateÂ ,congressman|lawyer|nsa|on the run|surveillance,Tony Scott,"Jake Busey,Will Smith,Lisa Bonet",1998,7.3
It's ComplicatedÂ ,affair|divorce|graduation|vomiting|watching television,Nancy Meyers,"Hunter Parrish,Meryl Streep,Zoe Kazan",2009,6.6
Ocean's ThirteenÂ ,casino|heist|manmade earthquake|revenge|tunnel boring machine,Steven Soderbergh,"Matt Damon,Al Pacino,Brad Pitt",2007,6.9
Open SeasonÂ ,bear|deer|forest|grizzly bear|hunter,Roger Allers,"Debra Messing,Jon Favreau,Jane Krakowski",2006,6.2
DivergentÂ ,army|brother sister relationship|dystopia|father son relationship|narrated by character,Neil Burger,"Theo James,Kate Winslet,Mekhi Phifer",2014,6.7
Enemy at the GatesÂ ,battle|german|russian|sniper|stalingrad,Jean-Jacques Annaud,"Gabriel Thomson,Bob Hoskins,Clemens Schick",2001,7.6
The RundownÂ ,amazon|bounty hunter|fight|hunter|jungle,Peter Berg,"Rosario Dawson,Dwayne Johnson,Ewen Bremner",2003,6.7
Last Action HeroÂ ,action hero|hero|magic|ticket|video store,John McTiernan,"Tom Noonan,F. Murray Abraham,Joan Plowright",1993,6.2
Memoirs of a GeishaÂ ,coming of age|geisha|japan|jealousy|love,Rob Marshall,"Mako,Li Gong,Karl Yune",2005,7.3
The Fast and the Furious: Tokyo DriftÂ ,car|challenge|drift racing|drifting|tokyo japan,Justin Lin,"Zachery Ty Bryan,Amber Stevens West,Nikki Griffin",2006,6
Arthur ChristmasÂ ,christmas|christmas eve|elf|high tech|resentment,Sarah Smith,"Imelda Staunton,Jim Broadbent,Michael Palin",2011,7.1
Meet Joe BlackÂ ,birthday|death|death personified|fear of death|wealth,Martin Brest,"Brad Pitt,Anthony Hopkins,Jake Weber",1998,7.1
Collateral DamageÂ ,bare chested boy|car explosion|colombia|explosion|terrorism,Andrew Davis,"Rick Worthy,Raymond Cruz,Jsu Garcia",2002,5.5
All That JazzÂ ,dancer|editing|stand up comedian|surgery|vomiting,Bob Fosse,"Ben Vereen,Roy Scheider,Max Wright",1979,7.8
Mirror MirrorÂ ,kingdom|prince|princess|queen|snow,Tarsem Singh,"Nathan Lane,Julia Roberts,Danny Woodburn",2012,5.6
Scott Pilgrim vs. the WorldÂ ,band|dating|high school|hipster|rock band,Edgar Wright,"Kieran Culkin,Anna Kendrick,Ellen Wong",2010,7.5
The CoreÂ ,core|earth|natural disaster|pacemaker|scientist,Jon Amiel,"TchÃ©ky Karyo,Glenn Morshower,Rekha Sharma",2003,5.4
Nutty Professor II: The KlumpsÂ ,alter ego|marriage|professor|scientist|serum,Peter Segal,"Janet Jackson,Larry Miller,Chris Elliott",2000,4.3
Scooby-DooÂ ,amusement park|island|motorcycle|scooby doo|tough girl,Raja Gosnell,"Linda Cardellini,Sarah Michelle Gellar,Miguel A. NÃºÃ±ez Jr.",2002,4.9
DreddÂ ,brutality|dark humor|female antagonist|female warrior|post apocalypse,Pete Travis,"Jason Cope,Wood Harris,Rakie Ayola",2012,7.1
ClickÂ ,architect|frozen time|obese man|remote control|stopped time,Frank Coraci,"Cameron Monaghan,Adam Sandler,Julie Kavner",2006,6.4
CreepshowÂ ,anthology|child abuse|critically acclaimed|death|grindhouse,George A. Romero,"Hal Holbrook,Ted Danson,Adrienne Barbeau",1982,6.9
Cats & Dogs: The Revenge of Kitty GaloreÂ ,cartoon on tv|cat|dog|kitty|special agent,Brad Peyton,"Sean Hayes,Jack McBrayer,Katt Williams",2010,4.3
JumperÂ ,bank|based on novel|ice|teleportation|vault,Doug Liman,"Hayden Christensen,Kristen Stewart,Tom Hulce",2008,6.1
Hellboy II: The Golden ArmyÂ ,creature|elf|prince|rebellion|superhero,Guillermo del Toro,"IvÃ¡n KamarÃ¡s,Seth MacFarlane,Brian Steele",2008,7
ZodiacÂ ,cartoonist|reporter|serial killer|zodiac|zodiac killer,David Fincher,"Jake Gyllenhaal,Robert Downey Jr.,Anthony Edwards",2007,7.7
The 6th DayÂ ,clone|cloning|future|laser gun|murder,Roger Spottiswoode,"Michael Rapaport,Robert Duvall,Tony Goldwyn",2000,5.9
Bruce AlmightyÂ ,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,Tom Shadyac,"Steve Carell,Morgan Freeman,Lisa Ann Walter",2003,6.7
The ExpendablesÂ ,action hero|assassination attempt|explosion|machine gun|rescue mission,Sylvester Stallone,"Sylvester Stallone,Jason Statham,Jet Li",2010,6.5
Mission: ImpossibleÂ ,disguise|mission|spy|stealing|traitor,Brian De Palma,"Kristin Scott Thomas,Tom Cruise,Vanessa Redgrave",1996,7.1
The Hunger GamesÂ ,fight to the death|game|massacre|self survival|suicide attempt,Gary Ross,"Josh Hutcherson,Jennifer Lawrence,Anthony Reynolds",2012,7.3
The Hangover Part IIÂ ,hotel|male frontal nudity|pubic hair|thailand|wedding,Todd Phillips,"Mason Lee,Bradley Cooper,Mike Tyson",2011,6.5
Batman ReturnsÂ ,box office hit|dc comics|gotham|mayor|penguin,Tim Burton,"Vincent Schiavelli,Michael Gough,Andrew Bryniarski",1992,7
Over the HedgeÂ ,bear|food|forest|raccoon|turtle,Tim Johnson,"Steve Carell,Bruce Willis,Catherine O'Hara",2006,6.8
Lilo & StitchÂ ,alien|escape|fugitive|hawaii|social worker,Dean DeBlois,"Jason Scott Lee,Tia Carrere,David Ogden Stiers",2002,7.2
Charlotte's WebÂ ,barn|pig|piglet|spider|uncle,Gary Winick,"Julia Roberts,Steve Buscemi,Oprah Winfrey",2006,6.4
Deep ImpactÂ ,astronomer|comet|mission|president|secretary,Mimi Leder,"Jon Favreau,Morgan Freeman,Robert Duvall",1998,6.1
RED 2Â ,cia|cia agent|rescue|russian|team,Dean Parisot,"Anthony Hopkins,Bruce Willis,Garrick Hagon",2013,6.7
The Longest YardÂ ,coach|convict|football|prison|warden,Peter Segal,"Steve Reevis,Adam Sandler,Dalip Singh",2005,6.4
Alvin and the Chipmunks: ChipwreckedÂ ,chipmunk|cruise ship|football ball|overboard|tennis ball,Mike Mitchell,"Jesse McCartney,Amy Poehler,Lauren Gottlieb",2011,4.4
Grown Ups 2Â ,belching|number in title|party|reference to nicki minaj|sneezing,Dennis Dugan,"Adam Sandler,Steve Buscemi,Jon Lovitz",2013,5.4
Get SmartÂ ,airplane|misunderstanding|obese woman|overweight woman|spy,Peter Segal,"Dwayne Johnson,Bill Murray,Anne Hathaway",2008,6.5
Something's Gotta GiveÂ ,beach|dating|doctor|heart attack|weekend,Nancy Meyers,"Jon Favreau,Keanu Reeves,Paul Michael Glaser",2003,6.7
Shutter IslandÂ ,female prisoner|plot twist|self delusion|surprise ending|year 1954,Martin Scorsese,"Joseph Sikora,Leonardo DiCaprio,Nellie Sciutto",2010,8.1
Four ChristmasesÂ ,airport|christmas|news broadcast|tv broadcast|tv news,Seth Gordon,"Robert Duvall,Jon Favreau,Katy Mixon",2008,5.6
RobotsÂ ,actor voicing multiple characters|box office hit|coffee|plate|robot,Chris Wedge,"Drew Carey,Jim Broadbent,Paula Abdul",2005,6.3
Face/OffÂ ,death of child|face|face transplant|prison|terrorist,John Woo,"CCH Pounder,Nicolas Cage,Joan Allen",1997,7.3
Bedtime StoriesÂ ,2000s|bedtime story|elephant|handyman|tween girl,Adam Shankman,"Carmen Electra,Adam Sandler,Kathryn Joosten",2008,6.1
Road to PerditionÂ ,1930s|blood|gun|on the run|revenge,Sam Mendes,"Jennifer Jason Leigh,Tom Hanks,Liam Aiken",2002,7.7
Just Go with ItÂ ,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,Dennis Dugan,"Bailee Madison,Adam Sandler,Kevin Nealon",2011,6.4
DaredevilÂ             ,corruption|lawyer|partnership|superhero|vigilante,,"Royce Johnson,Elden Henson,Charlie Cox",,8.8
Con AirÂ ,army rangers|convict|criminal|escape|prison,Simon West,"Monica Potter,Steve Buscemi,Dave Chappelle",1997,6.8
Eagle EyeÂ ,audio surveillance|death|pentagon|technology|twin brother,D.J. Caruso,"Ethan Embry,Rosario Dawson,Cameron Boyce",2008,6.6
Cold MountainÂ ,civil war|mountain|soldier|well|wounded soldier,Anthony Minghella,"Natalie Portman,Philip Seymour Hoffman,Charlie Hunnam",2003,7.2
The Book of EliÂ ,blind|book|long take|post apocalypse|water,Albert Hughes,"Mila Kunis,Denzel Washington,Gary Oldman",2010,6.9
FlubberÂ ,college|flubber|flying rubber|professor|wedding,Les Mayfield,"Jodi Benson,Robin Williams,Sam Lloyd",1997,5.2
The HauntingÂ ,greenhouse|haunted house|horror movie remake|mansion|old house,Jan de Bont,"Lili Taylor,Liam Neeson,Virginia Madsen",1999,4.9
Space JamÂ ,alien|basketball|basketball game|cult film|monstars,Joe Pytka,"Wayne Knight,Bill Murray,Michael Jordan",1996,6.3
The Pink PantherÂ ,diamond|france|investigation|pink panther|soccer,Shawn Levy,"Henry Czerny,Roger Rees,William Abadie",2006,5.6
The Day the Earth Stood StillÂ ,alien|earth|giant robot|military|scientist,Scott Derrickson,"Jon Hamm,Keanu Reeves,Juan Riedinger",2008,5.5
Conspiracy TheoryÂ ,conspiracy|fbi|mk ultra|newsletter|taxi,Richard Donner,"Alex McArthur,Julia Roberts,Michael Potts",1997,6.7
FuryÂ ,battle|battlefield|brutality|combat|tank,David Ayer,"Logan Lerman,Brad Pitt,Jim Parrack",2014,7.6
Six Days Seven NightsÂ ,airplane|island|pilot|storm|thunderstorm,Ivan Reitman,"Anne Heche,Harrison Ford,Amy Sedaris",1998,5.7
Yogi BearÂ ,bear|mayor|park|sabotage|yogi bear,Eric Brevig,"Tom Cavanagh,Justin Timberlake,Josh Robert Thompson",2010,4.6
Spirit: Stallion of the CimarronÂ ,cavalry|escape|herd|stallion|wild stallion,Kelly Asbury,"Charles Napier,Matt Damon,Zahn McClarnon",2002,7
ZookeeperÂ ,champagne bottle|coca cola|jewelry box|red bull|zoo,Frank Coraci,"Leslie Bibb,Rosario Dawson,Nicholas Turturro",2011,5.2
Lost in SpaceÂ ,based on tv series|remake|robot|scientist|spaceship,Stephen Hopkins,"William Hurt,Gary Oldman,June Lockhart",1998,5.1
The Manchurian CandidateÂ ,brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,Jonathan Demme,"Dorian Missick,Denzel Washington,Jose Pablo Cantillo",2004,6.6
DÃ©jÃ  VuÂ ,american|love|pin|ruby|stranger,Henry Jaglom,"Stephen Dillane,Vanessa Redgrave,Michael Brandon",1997,7
Hotel Transylvania 2Â ,california|dracula|hotel|transylvania|vampire,Genndy Tartakovsky,"Adam Sandler,Steve Buscemi,Fran Drescher",2015,6.7
BewitchedÂ             ,connecticut|magic|marriage|witch|witchcraft,,"Agnes Moorehead,Elizabeth Montgomery,Dick York",,7.6
Fantasia 2000Â ,abstract|ark|disney|fairy tale|piano,James Algar,"Penn Jillette,Quincy Jones,Russi Taylor",1999,7.3
The Time MachineÂ ,hunter|scientist|time machine|time travel|time travel romance,Simon Wells,"Alan Young,Mark Addy,Josh Stamberg",2002,5.9
Mighty Joe YoungÂ ,animal|california|gorilla|hunter|poacher,Ron Underwood,"Mika Boorem,Charlize Theron,David Paymer",1998,5.6
SwordfishÂ ,computer|secret agent|terrorism|told in flashback|wearing a sound wire,Dominic Sena,"Don Cheadle,Hugh Jackman,Sam Shepard",2001,6.5
The Legend of ZorroÂ ,california|fight|hero|mask|zorro,Martin Campbell,"Nick Chinlund,Michael Emerson,Adrian Alonso",2005,5.9
What Dreams May ComeÂ ,heaven|hell|soul|soul mate|suicide,Vincent Ward,"Annabella Sciorra,Robin Williams,Rosalind Chao",1998,7
Little NickyÂ ,angel|devil|flask|hell|the devil,Steven Brill,"Jon Lovitz,Adam Sandler,Michael McKean",2000,5.3
The Brothers GrimmÂ ,creature|curse|exorcism|girl|village,Terry Gilliam,"Heath Ledger,Matt Damon,Mackenzie Crook",2005,5.9
Mars Attacks!Â ,alien|general|martian|president|weapon,Tim Burton,"Martin Short,Natalie Portman,Lukas Haas",1996,6.3
EvolutionÂ ,boy|giving birth|nurse|sea|ultrasonography,Lucile Hadzihalilovic,"Roxane Duran,Nissim Renard,Julie-Marie Parmentier",2015,6.4
The EdgeÂ ,bear|billionaire|crash|survival tactics|wilderness,Lee Tamahori,"Harold Perrineau,Anthony Hopkins,Bart the Bear",1997,6.9
SurrogatesÂ ,android|fbi agent|future|murder|robot,Jonathan Mostow,"Devin Ratray,Bruce Willis,Boris Kodjoe",2009,6.3
Thirteen DaysÂ ,blockade|crisis|cuba|missile|president,Roger Donaldson,"Jon Foster,Bruce Greenwood,Bruce Thomas",2000,7.3
DaylightÂ ,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,Rob Cohen,"Viggo Mortensen,Sylvester Stallone,Amy Brenneman",1996,5.8
Walking with Dinosaurs 3DÂ ,brother|dinosaur|head butt|hero|orphan,Barry Cook,"Tiya Sircar,Charlie Rowe,Madison Rothschild",2013,5.2
Battlefield EarthÂ ,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,Roger Christian,"Michael Byrne,Richard Tyson,John Topor",2000,2.4
Looney Tunes: Back in ActionÂ ,diamond|duck|monkey|spy|stuntman,Joe Dante,"Jenna Elfman,Brendan Fraser,Heather Locklear",2003,5.7
NineÂ ,based on stage musical based on film|child abuse|film director|italian|mistress,Rob Marshall,"Elio Germano,Fergie,Andrea Di Stefano",2009,5.8
TimelineÂ ,castle|france|professor|student|time machine,Richard Donner,"Gerard Butler,Paul Walker,Ethan Embry",2003,5.6
